,R,n_sites,from_sec,to_sec,type,transport_per_sec_per_particle,transport_per_sec_per_particle_sem,total_sim_time_sec
11039,42,16,5e-06,1e-05,kap,0.0,0.0,0.1620000758012544
12117,49,16,5e-06,1e-05,kap,0.0,0.0,0.10200004772671573
11799,57,16,5e-06,1e-05,kap,0.0,0.0,0.06467503026201313
4425,66,16,5e-06,1e-05,kap,0.0,0.0,0.04200001965217706
11653,75,16,5e-06,1e-05,kap,0.0,0.0,0.02772001297043686
7351,49,24,5e-06,1e-05,kap,0.0,0.0,0.10200004772671573
1752,15,0,5e-06,1.5000000000000002e-05,inert,71.52949770264102,3.2117692596765828,6.934202195322938
13578,17,0,5e-06,1.5000000000000002e-05,inert,34.891095273382376,2.699954013110527,4.7863215153180025
4672,20,0,5e-06,1.5000000000000002e-05,inert,6.631760553132496,1.5214302141507343,2.865000907040498
12176,24,0,5e-06,1.5000000000000002e-05,inert,2.327420945413951,1.1637104727069756,1.718640544110325
7874,17,1,5e-06,1.5000000000000002e-05,inert,22.93201567189491,2.1668718046167723,4.8840015462428585
6208,20,1,5e-06,1.5000000000000002e-05,inert,8.333330695054652,1.6666661390109303,3.000000949780626
12974,24,1,5e-06,1.5000000000000002e-05,inert,0.0,0.0,1.7273205468583568
11808,29,1,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.9840003115280452
12700,35,1,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.5600001772923835
14406,42,1,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.3240001025763076
13718,17,2,5e-06,1.5000000000000002e-05,inert,28.25551931001337,2.405269534262879,4.8840015462428585
2162,20,2,5e-06,1.5000000000000002e-05,inert,5.333331644834977,1.3333329112087442,3.000000949780626
15660,24,2,5e-06,1.5000000000000002e-05,inert,0.5877925346836255,0.5877925346836255,1.7012805386142609
1344,29,2,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.9840003115280452
11056,35,2,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.5600001772923835
840,42,2,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.32238010206342604
6694,17,4,5e-06,1.5000000000000002e-05,inert,23.13676581182255,2.1765238426085607,4.8840015462428585
14762,20,4,5e-06,1.5000000000000002e-05,inert,4.999998417032791,1.2909940400154298,3.000000949780626
14276,24,4,5e-06,1.5000000000000002e-05,inert,0.5760366839899529,0.5760366839899529,1.7360005496063888
7420,29,4,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.9840003115280452
12984,35,4,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.5600001772923835
8716,42,4,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.3240001025763076
14078,49,4,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.20400006458508255
3000,17,6,5e-06,1.5000000000000002e-05,inert,31.32677140892788,2.53261936134488,4.8840015462428585
11144,20,6,5e-06,1.5000000000000002e-05,inert,6.3333313282415356,1.4529658545139514,3.000000949780626
4266,24,6,5e-06,1.5000000000000002e-05,inert,0.0,0.0,1.7099605413622931
8276,29,6,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.9840003115280452
12626,35,6,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.543200171973612
9810,42,6,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.32238010206342604
590,49,6,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.20400006458508255
2958,57,6,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.12935004095137465
14592,66,6,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.08400002659385752
394,75,6,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.0546000172860074
4688,17,8,5e-06,1.5000000000000002e-05,inert,30.91727112907259,2.516011842153803,4.8840015462428585
10392,20,8,5e-06,1.5000000000000002e-05,inert,5.025124037218887,1.2974814472516882,2.9850009450317234
6476,24,8,5e-06,1.5000000000000002e-05,inert,1.15786268138684,0.8187325536914735,1.7273205468583568
10036,29,8,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.9790803099704052
904,35,8,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.5600001772923835
344,42,8,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.31914010103766305
1334,49,8,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.20400006458508255
4750,57,8,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.12870004074558886
12000,66,8,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.08274002619494966
6544,75,8,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.05600001772923835
10734,24,12,5e-06,1.5000000000000002e-05,inert,0.57893134069342,0.57893134069342,1.7273205468583568
13156,29,12,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.9790803099704052
3882,35,12,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.5600001772923835
10456,42,12,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.32238010206342604
14954,49,12,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.20400006458508255
5062,57,12,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.12870004074558886
8976,66,12,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.08274002619494966
1888,75,12,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.05516001746329978
1856,24,16,5e-06,1.5000000000000002e-05,inert,2.327420945413951,1.1637104727069756,1.718640544110325
7030,29,16,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.9840003115280452
5748,35,16,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.5600001772923835
